status,order_id,address,btcvalue,received,created_by,product
2,dd786f26-e2f0-11ed-9323-22a58be78c4de,bc1q8ts588ug4440hs8dzkpvs7djmatmj08pxvy2wr,3679.405997,100000000.0,Cozy244,
2,dd786f26-e2f0-11ed-9323-22a58be78c4df,bc1q8ts588ug4440hs8dzkpvs7djmatmj08pxvy2wr,3679.405997,100000000.0,Cozy244,
-1,485e798f-f0c3-11ed-9954-6eeecd520c68,bc1qc0xqyqhatceu6ea8hxwd4eekqt3fpy2rhpaq0z,1.0,0.0,Sam biku,
2,dd786f26-e2f0-11ed-9323-22a58be78c4dj,bc1qc273jdm46qka0hxf32a7l7tt8j2udjqm3pe67z,3679.405997,100000000.0,Cozy244,
2,7cc0e38c-f537-11ed-8e29-7aa75e14d13a,bc1qk5wrj9tk80ur8atjp7fzn4xjc40vuzz22l84ke,3697.021679,459998.0,Kawawa,
-1,d4d55879-fe32-11ed-ad75-b26513c39500,bc1q2kwke6esgj0chwkryk90z8zn6anfe3cfqnpnum,1.0,0.0,Jamesthielemier57,
-1,a024cc3e-ff89-11ed-95db-b26513c39500,bc1qhhlu8mc549zeyr203625ea5qky8ckkschsjql2,1.0,0.0,Summit,
-1,0bc741ba-ffee-11ed-9f41-b26513c39500,bc1qdgy8amdlf53vdzqth0a9559elxdhsvy9j7ea7x,1.0,0.0,jehsgsg,
-1,78fc1ba8-00ad-11ee-afd9-b26513c39500,bc1q930arhkrr4ut9lazuw36auvpza9x8g2h8elhp2,1.0,0.0,Novacaneee2,
-1,97a47ba7-023b-11ee-9ac0-b26513c39500,bc1qqx2x57cflstayna9wzlnw2ngjwv8fjypdq453c,1.0,0.0,Novacaneee2,
-1,b3bc33da-02d9-11ee-99f4-b26513c39500,bc1qvf6jqajdh2s2lzjrqxt6wzxl4p4ksk63ypjhmg,1.0,0.0,Jamesthielemier57,
-1,3110339a-0772-11ee-b756-cab82dad2c0e,bc1qr9f65hwuutj996k2z5sl2q4clxp5zsx44a9u5r,1.0,0.0,Possiblemistake,
-1,53f4b060-07b3-11ee-b9a3-cab82dad2c0e,bc1qcaldvegvr6zkp48twvpygfdmpdtwprrnx92xmk,1.0,0.0,Allyson,
-1,1159e688-0951-11ee-bde8-cab82dad2c0e,bc1qpu66wasm0c970f8xqlmrynlaqs5hsdvpk4da94,1.0,0.0,Lucky_Seven07,
-1,10f88596-09bc-11ee-b04a-cab82dad2c0e,bc1qcsqth5vm06q626p2yn9uwf7kn4zyja06ct9ppe,1.0,0.0,Killerd,
-1,aeeee278-11ea-11ee-b854-7e9a5e4b53eb,bc1qxdrpzuyexcqr6huh8yxryggnvfke6n0y8ep0q7,1.0,0.0,SammyPiddy,
-1,f99c8f63-0e9d-11ee-ae1e-7e9a5e4b53eb,bc1q600hk5ej9yefqmywyry2ffzjveuzs5m4h800al,1.0,0.0,Duron33,
-1,0db761b4-11b9-11ee-9c25-7e9a5e4b53eb,bc1q6tdn8mw3qtp4z65y4cpexzntnljtzjlsrucwn5,1.0,0.0,Duron33,
-1,b1732c37-1569-11ee-a9d5-7e9a5e4b53eb,bc1qp8h03lthsaa86glu2xeafzmm5nseh4t2v5rlt8,1.0,0.0,Smoke229,
-1,a8e43342-156d-11ee-b5c2-7e9a5e4b53eb,bc1qc273jdm46qka0hxf32a7l7tt8j2udjqm3pe67z,1.0,0.0,Smoke229,
2,51749c4e-1753-11ee-80d9-6a2a40c1edcc,bc1q4t6t8drnw2u5jmda4vfdznv9myenz0ce7ft3vd,3351.768058,0.0,Fakeie187,Chase Bank
-1,660a02e1-19c9-11ee-b0bb-2e3add91f4b5,bc1qe8fy4998h6kur5tpwz4uak0fphzvdltn7ls3t8,1.0,0.0,Jamesthielemier57,
-1,ca33f263-1a14-11ee-8f36-2e3add91f4b5,bc1quhxqtkyk5w9gxe0jmltzr9ak5ctu409440p7th,1.0,0.0,Sirtee,Citizens Bank
-1,f94c3c1c-1bdc-11ee-b1a7-b60d80ff59ee,bc1q3vel5qpr8zfg876h57sa9p0sejjk2e74xhx6hs,1.0,0.0,Yagnik1999,CIBC
-1,6a882e94-1cfa-11ee-a098-b60d80ff59ee,bc1qm0m262nnk2j8uxjwkf9zeg38m3qs6sg7j4kt3r,1.0,0.0,Acious,Wells Fargo
-1,8bfcf002-1cfa-11ee-ac85-b60d80ff59ee,bc1qm3n449x042wxhx95m4ex55nwusd3455wff32wh,1.0,0.0,Acious,Wells Fargo
-1,27eb760a-22eb-11ee-b8b3-b60d80ff59ee,bc1qhsphl4my55llt2k096tpew2fnksm7gy78pnffn,1.0,0.0,MMerritt1,Bank of America
-1,d7162c9c-2398-11ee-80e5-b60d80ff59ee,bc1qs5zx7cvcmpsnkxpxlkrh8gytul33sa6at76u5x,1.0,0.0,Lucky_Se7en160,Chase bank
-1,005f8284-2399-11ee-87f1-b60d80ff59ee,bc1qjvytl7dh37a674qrknkn0pjfvnwgdqxfamf4jj,1.0,0.0,Lucky_Se7en160,Chase bank
-1,24501389-239c-11ee-90ba-b60d80ff59ee,bc1q8ztszl8nv8hfrly30xja3z7jzy50lfhmd4vsu4,1.0,0.0,Lucky_Se7en160,Chase bank
-1,a73d3940-23a7-11ee-b42f-b60d80ff59ee,bc1qavaw57nug2rjj24gj8j3uz0c7vd6dfvf8ywh64,1.0,0.0,Lucky_Se7en160,Chase bank
-1,829195b7-23cf-11ee-ab4e-b60d80ff59ee,bc1q75lr3hdlm0d5xrrgaj4vrk5acju2zw3xfy0vj5,1.0,0.0,Lucky_Se7en160,Chase bank
-1,fcccaff4-23de-11ee-860f-b60d80ff59ee,bc1qlurss53rc2qs6vngt8u26lfapt4g7xylypqk07,1.0,0.0,Cozy244,Wells fargo
